Tour;Année_élection;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;VILLIERS DE PHILIPPE;JEAN-MARIE LE PEN;JACQUES CHIRAC;ARLETTE LAGUILLER;JACQUES CHEMINADE;LIONEL JOSPIN;DOMINIQUE VOYNET;EDOUARD BALLADUR;ROBERT HUE
1;1995;1;AIN;1;1ère circonscription;76665;15319;19,98;61346;80,02;2010;2,62;3,28;59336;77,4;96,72;5,14;17,27;20,74;4,47;0,29;22,38;4,28;19,59;5,83
1;1995;1;AIN;2;2ème circonscription;76349;14857;19,46;61492;80,54;1734;2,27;2,82;59758;78,27;97,18;5,39;24,04;16,85;5,11;0,25;19,11;3,45;18,21;7,6
1;1995;1;AIN;3;3ème circonscription;73391;15713;21,41;57678;78,59;1577;2,15;2,73;56101;76,44;97,27;5,26;16,45;19,61;5,14;0,31;21,34;4,46;21,46;5,98
1;1995;1;AIN;4;4ème circonscription;87854;16837;19,16;71017;80,84;2415;2,75;3,4;68602;78,09;96,6;5,68;21,24;19,7;4,85;0,27;19,39;3,55;20,01;5,31
1;1995;2;AISNE;1;1ère circonscription;70525;13007;18,44;57518;81,56;1514;2,15;2,63;56004;79,41;97,37;4,43;16,29;19,2;6,94;0,24;25,88;2,77;15,3;8,94
1;1995;2;AISNE;2;2ème circonscription;74955;13678;18,25;61277;81,75;1553;2,07;2,53;59724;79,68;97,47;4,42;17,97;18,15;5,1;0,26;24,15;2,29;14,93;12,74
1;1995;2;AISNE;3;3ème circonscription;74949;13618;18,17;61331;81,83;1731;2,31;2,82;59600;79,52;97,18;5,51;16,61;18,87;5,68;0,32;24,85;1,96;15,06;11,15
1;1995;2;AISNE;4;4ème circonscription;77213;15286;19,8;61927;80,2;1528;1,98;2,47;60399;78,22;97,53;4,08;18;16,31;5,55;0,3;25,87;2,39;15,76;11,74
1;1995;2;AISNE;5;5ème circonscription;74297;14360;19,33;59937;80,67;1580;2,13;2,64;58357;78,55;97,36;5,06;19,53;18,39;5,81;0,31;21,16;2,75;17,09;9,9
1;1995;3;ALLIER;1;1ère circonscription;59098;11984;20,28;47114;79,72;1756;2,97;3,73;45358;76,75;96,27;4,41;10,17;22,4;4,12;0,28;24,76;2,67;17,68;13,51
1;1995;3;ALLIER;2;2ème circonscription;68594;14306;20,86;54288;79,14;2090;3,05;3,85;52198;76,1;96,15;4,05;9,71;20,64;5,69;0,24;23,3;2,72;14,74;18,91
1;1995;3;ALLIER;3;3ème circonscription;71591;12768;17,83;58823;82,17;1996;2,79;3,39;56827;79,38;96,61;5,57;9,59;21,49;4,3;0,3;20,25;2,91;16,09;19,51
1;1995;3;ALLIER;4;4ème circonscription;64722;13072;20,2;51650;79,8;1886;2,91;3,65;49764;76,89;96,35;4,76;15,67;22,19;5;0,27;20,68;2,76;18,88;9,79
1;1995;4;ALPES DE HAUTE PROVENCE;1;1ère circonscription;51127;10447;20,43;40680;79,57;1339;2,62;3,29;39341;76,95;96,71;5,08;15,85;17,54;5,57;0,31;23,21;4,14;16,62;11,68
1;1995;4;ALPES DE HAUTE PROVENCE;2;2ème circonscription;52747;10666;20,22;42081;79,78;1366;2,59;3,25;40715;77,19;96,75;5,37;15,74;19,17;4,96;0,36;22,2;4,23;17,31;10,65
1;1995;5;HAUTES ALPES;1;1ère circonscription;49556;9721;19,62;39835;80,38;1319;2,66;3,31;38516;77,72;96,69;5,45;12,84;19,63;5,08;0,31;23,26;4,57;19,83;9,04
1;1995;5;HAUTES ALPES;2;2ème circonscription;39163;8273;21,12;30890;78,88;1051;2,68;3,4;29839;76,19;96,6;5,51;12,62;21,12;5,19;0,37;20,27;5,54;21,28;8,1
1;1995;6;ALPES MARITIMES;1;1ère circonscription;63021;18475;29,32;44546;70,68;768;1,22;1,72;43778;69,47;98,28;3,94;24,23;20,98;4,17;0,21;17,24;2,55;18,27;8,41
1;1995;6;ALPES MARITIMES;2;2ème circonscription;69589;20387;29,3;49202;70,7;720;1,03;1,46;48482;69,67;98,54;3,58;22,21;23,2;3,4;0,17;17,14;2,57;22,4;5,33
1;1995;6;ALPES MARITIMES;3;3ème circonscription;73419;20481;27,9;52938;72,1;844;1,15;1,59;52094;70,95;98,41;3,79;23,94;21,29;3,61;0,22;16,98;2,44;19,99;7,76
1;1995;6;ALPES MARITIMES;4;4ème circonscription;70476;16596;23,55;53880;76,45;1017;1,44;1,89;52863;75,01;98,11;4,82;22,18;22,09;3,64;0,21;15,9;2,56;21,21;7,39
1;1995;6;ALPES MARITIMES;5;5ème circonscription;81305;19787;24,34;61518;75,66;1265;1,56;2,06;60253;74,11;97,94;4,52;23,25;19,58;4,05;0,22;16,85;2,85;17,25;11,42
