Tour;Année_élection;Libellé du département;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Olivier BESANCENOT;Marie-George BUFFET;Igérard SCHIVARD;François BAYROU;José BOVÉ;Dominique VOYNET;Philippe de VILLIERS;Ségolène ROYAL;Frédéric NIHOUS;Jean-Marie LE PEN;Arlette LAGUILLER;Nicolas SARKOZY
1;2007;AIN;1ère circonscription;86218;11131;12,91;75087;87,09;1070;1,24;1,43;74017;85,85;98,57;3,5;1,3;0,38;19,54;1,22;1,8;2,64;22,77;1,15;11,01;1,1;33,58
1;2007;AIN;2ème circonscription;92003;14608;15,88;77395;84,12;1000;1,09;1,29;76395;83,04;98,71;3,57;1,7;0,34;18,41;1,16;1,56;2,62;20,34;1,02;14,32;1,34;33,63
1;2007;AIN;3ème circonscription;85399;12763;14,95;72636;85,05;911;1,07;1,25;71725;83,99;98,75;3,43;1,31;0,32;20,93;1,66;1,99;2,18;21,61;1,17;11,06;1,11;33,22
1;2007;AIN;4ème circonscription;109279;13538;12,39;95741;87,61;1280;1,17;1,34;94461;86,44;98,66;3,22;1,1;0,31;19,66;1,09;1,62;2,64;18,58;1,27;12,55;1,09;36,87
1;2007;AISNE;1ère circonscription;72153;11507;15,95;60646;84,05;853;1,18;1,41;59793;82,87;98,59;5,84;1,69;0,45;14,54;1,25;1,26;2,56;24,59;1,5;15,52;2,54;28,26
1;2007;AISNE;2ème circonscription;74499;11964;16,06;62535;83,94;863;1,16;1,38;61672;82,78;98,62;5,44;2,09;0,41;13,47;0,81;1,12;2,22;23,46;1,15;16,81;2,17;30,85
1;2007;AISNE;3ème circonscription;72034;12004;16,66;60030;83,34;1003;1,39;1,67;59027;81,94;98,33;5,63;1,96;0,4;11,19;1,05;0,98;2,64;24,16;1,77;19,38;2,78;28,07
1;2007;AISNE;4ème circonscription;79058;14047;17,77;65011;82,23;845;1,07;1,3;64166;81,16;98,7;5,46;2,54;0,41;13,46;0,97;1,17;2,78;24,28;1,17;17,36;2,02;28,37
1;2007;AISNE;5ème circonscription;79731;12452;15,62;67279;84,38;972;1,22;1,44;66307;83,16;98,56;5,11;1,86;0,44;14,71;1,3;1,39;2,84;20,85;1,18;17,37;2,16;30,8
1;2007;ALLIER;1ère circonscription;58140;8789;15,12;49351;84,88;954;1,64;1,93;48397;83,24;98,07;5,02;3,74;0,5;18,77;0,94;1,29;2,27;27,26;1,38;9,74;1,48;27,61
1;2007;ALLIER;2ème circonscription;66239;10645;16,07;55594;83,93;1063;1,6;1,91;54531;82,32;98,09;5,65;5,24;0,4;17,86;1,31;1,17;2,16;28,84;1,29;8,07;1,79;26,22
1;2007;ALLIER;3ème circonscription;70570;9330;13,22;61240;86,78;1196;1,69;1,95;60044;85,08;98,05;5,11;6,47;0,46;17,56;1,46;1,41;2,72;24,22;1,89;10,43;1,54;26,72
1;2007;ALLIER;4ème circonscription;64588;9248;14,32;55340;85,68;928;1,44;1,68;54412;84,24;98,32;4,42;2,47;0,33;18,99;1,11;1,39;2,53;22,58;1,13;11,91;1,38;31,77
1;2007;ALPES DE HAUTE PROVENCE;1ère circonscription;58333;7849;13,46;50484;86,54;785;1,35;1,55;49699;85,2;98,45;4,43;2,75;0,68;16,03;2,14;1,79;2,16;25,72;2,12;11,96;1,35;28,86
1;2007;ALPES DE HAUTE PROVENCE;2ème circonscription;60603;8294;13,69;52309;86,31;868;1,43;1,66;51441;84,88;98,34;4,14;2,67;0,55;17,14;2,32;1,62;2,17;24,78;1,95;10,53;1,07;31,06
1;2007;HAUTES ALPES;1ère circonscription;57317;7834;13,67;49483;86,33;701;1,22;1,42;48782;85,11;98,58;4,08;1,88;0,39;20,5;2,19;1,91;2,34;24,9;1,8;9,23;0,99;29,8
1;2007;HAUTES ALPES;2ème circonscription;45638;6594;14,45;39044;85,55;503;1,1;1,29;38541;84,45;98,71;4,27;1,82;0,33;18,92;2,85;2,27;2,09;23,97;2,19;8,54;1,01;31,75
1;2007;ALPES MARITIMES;1ère circonscription;57415;10607;18,47;46808;81,53;483;0,84;1,03;46325;80,68;98,97;2,44;2,48;0,21;14,05;1,13;1,3;1,94;21,96;0,23;14,1;0,85;39,31
1;2007;ALPES MARITIMES;2ème circonscription;60941;11157;18,31;49784;81,69;423;0,69;0,85;49361;81;99,15;2,34;1,65;0,19;15,1;1;1,27;1,77;19,45;0,24;12,69;0,67;43,63
1;2007;ALPES MARITIMES;3ème circonscription;69198;12453;18;56745;82;520;0,75;0,92;56225;81,25;99,08;2,18;2,1;0,24;14,75;0,88;1,24;1,81;19,27;0,3;14,15;0,62;42,46
1;2007;ALPES MARITIMES;4ème circonscription;72344;13973;19,31;58371;80,69;596;0,82;1,02;57775;79,86;98,98;2,67;2,22;0,32;13,74;1,28;1,43;1,88;16,14;0,72;14,9;0,96;43,74
1;2007;ALPES MARITIMES;5ème circonscription;86204;13698;15,89;72506;84,11;775;0,9;1,07;71731;83,21;98,93;2,73;3,1;0,29;13,36;1,37;1,35;1,83;18,67;0,84;15,42;0,87;40,18
1;2007;ALPES MARITIMES;6ème circonscription;106182;17196;16,19;88986;83,81;984;0,93;1,11;88002;82,88;98,89;2,27;1,4;0,21;15,53;0,98;1,56;1,82;16,93;0,5;13,51;0,76;44,53
1;2007;ALPES MARITIMES;7ème circonscription;97077;15686;16,16;81391;83,84;826;0,85;1,01;80565;82,99;98,99;2,21;1,3;0,2;16,31;0,99;1,61;1,84;17,42;0,52;11,55;0,73;45,31
1;2007;ALPES MARITIMES;8ème circonscription;66956;11104;16,58;55852;83,42;540;0,81;0,97;55312;82,61;99,03;2,13;0,93;0,23;14,25;0,73;1,24;1,88;15,41;0,32;13,13;0,73;49,01
