,Départements,Candidats,Votes
0,Ain,Blancs et nuls,2.2810102739726026
1,Allier,Blancs et nuls,3.0623893805309734
2,Alpes-de-Haute-Provence,Blancs et nuls,2.215763358778626
3,Ardennes,Blancs et nuls,2.260339892665474
4,Ardèche,Blancs et nuls,2.4207990867579907
5,Ariège,Blancs et nuls,2.4665873015873014
6,Aube,Blancs et nuls,2.5391947565543074
7,Aude,Blancs et nuls,2.326569965870307
8,Aveyron,Blancs et nuls,2.8131278538812787
9,Bas-Rhin,Blancs et nuls,2.1596610169491526
10,Bouches-du-Rhône,Blancs et nuls,1.8669158878504675
11,Calvados,Blancs et nuls,2.1473101952277656
12,Cantal,Blancs et nuls,2.9821160409556313
13,Charente,Blancs et nuls,2.70721568627451
14,Charente-Maritime,Blancs et nuls,2.293602564102564
15,Cher,Blancs et nuls,2.589816933638444
16,Corrèze,Blancs et nuls,2.8448958333333336
17,Creuse,Blancs et nuls,3.320539568345324
18,Côte-d'Or,Blancs et nuls,2.308557268722467
19,Côtes-d'Armor,Blancs et nuls,2.4305801526717556
20,Doubs,Blancs et nuls,2.846129458388375
21,Drôme,Blancs et nuls,2.2065210084033615
22,Essonne,Blancs et nuls,2.096696629213483
23,Eure,Blancs et nuls,2.1646211180124224
24,Eure-et-Loir,Blancs et nuls,2.2110288808664262
25,Finistère,Blancs et nuls,2.25890625
26,Français établis hors de France,Blancs et nuls,1.5004807692307693
27,Gard,Blancs et nuls,2.0693156424581005
28,Gers,Blancs et nuls,2.390157170923379
29,Gironde,Blancs et nuls,2.02046975088968
30,Guadeloupe,Blancs et nuls,4.844309523809524
31,Guyane,Blancs et nuls,3.826240601503759
32,Haut-Rhin,Blancs et nuls,2.300160116448326
33,Haute-Corse,Blancs et nuls,3.465292307692308
34,Haute-Loire,Blancs et nuls,2.8150925925925927
35,Haute-Marne,Blancs et nuls,2.624733096085409
36,Haute-Savoie,Blancs et nuls,2.170419254658385
37,Haute-Saône,Blancs et nuls,3.020244299674267
38,Haute-Vienne,Blancs et nuls,3.056825396825397
39,Hautes-Alpes,Blancs et nuls,2.298495145631068
40,Hautes-Pyrénées,Blancs et nuls,2.446064400715563
41,Hauts-de-Seine,Blancs et nuls,1.856066212268744
42,Hérault,Blancs et nuls,2.034931071049841
43,Ille-et-Vilaine,Blancs et nuls,2.3210682819383264
44,Indre,Blancs et nuls,3.0159202453987732
45,Indre-et-Loire,Blancs et nuls,2.51650623885918
46,Jura,Blancs et nuls,2.7792869875222816
47,La Réunion,Blancs et nuls,4.619913978494624
48,Landes,Blancs et nuls,2.223242718446602
49,Loir-et-Cher,Blancs et nuls,2.5338874680306906
50,Loiret,Blancs et nuls,2.2975
51,Lot,Blancs et nuls,2.578740157480315
52,Lot-et-Garonne,Blancs et nuls,2.347216035634744
53,Lozère,Blancs et nuls,2.332287234042553
54,Maine-et-Loire,Blancs et nuls,2.5321613832853025
55,Manche,Blancs et nuls,2.4086962552011095
56,Marne,Blancs et nuls,2.1810488676996425
57,Martinique,Blancs et nuls,5.994879518072289
58,Mayenne,Blancs et nuls,3.0427247191011237
59,Mayotte,Blancs et nuls,6.21032967032967
60,Meurthe-et-Moselle,Blancs et nuls,2.1715401069518716
61,Meuse,Blancs et nuls,2.345017361111111
62,Morbihan,Blancs et nuls,2.386599423631124
63,Moselle,Blancs et nuls,2.2031171874999997
64,Nièvre,Blancs et nuls,2.579494680851064
65,Nord,Blancs et nuls,1.9827922077922078
66,Nouvelle-Calédonie,Blancs et nuls,4.434440677966102
67,Orne,Blancs et nuls,2.3734528301886795
68,Puy-de-Dôme,Blancs et nuls,2.785209176788124
69,Pyrénées-Atlantiques,Blancs et nuls,2.1707272727272726
70,Pyrénées-Orientales,Blancs et nuls,2.1947708333333336
71,Rhône,Blancs et nuls,1.8758618071374333
72,Saint-Martin/Saint-Barthélemy,Blancs et nuls,2.9033333333333338
73,Saint-Pierre-et-Miquelon,Blancs et nuls,2.515
74,Sarthe,Blancs et nuls,2.9564026402640264
75,Savoie,Blancs et nuls,2.21734309623431
76,Saône-et-Loire,Blancs et nuls,2.847896138482024
77,Seine-Maritime,Blancs et nuls,2.229584261321455
78,Seine-Saint-Denis,Blancs et nuls,2.0289768574908646
79,Tarn,Blancs et nuls,2.465865580448065
80,Tarn-et-Garonne,Blancs et nuls,2.2380677966101694
81,Territoire de Belfort,Blancs et nuls,2.651523178807947
82,Val-d'Oise,Blancs et nuls,2.119111111111111
83,Val-de-Marne,Blancs et nuls,1.9840248447204971
84,Var,Blancs et nuls,1.8287243243243243
85,Vaucluse,Blancs et nuls,2.024063116370809
86,Vendée,Blancs et nuls,2.6194967532467532
87,Vienne,Blancs et nuls,2.630131868131868
88,Wallis et Futuna,Blancs et nuls,0.82
89,Yonne,Blancs et nuls,2.309878472222222
90,Yvelines,Blancs et nuls,1.7984592445328031
91,Ain,Blancs_nuls et abstentions,31.435753424657534
92,Allier,Blancs_nuls et abstentions,36.14444690265486
93,Alpes-de-Haute-Provence,Blancs_nuls et abstentions,31.079351145038167
94,Ardennes,Blancs_nuls et abstentions,34.61386404293381
95,Ardèche,Blancs_nuls et abstentions,28.965730593607304
96,Ariège,Blancs_nuls et abstentions,27.62743386243386
97,Aube,Blancs_nuls et abstentions,33.60198501872659
98,Aude,Blancs_nuls et abstentions,31.33145051194539
